uuid,className,name,displayName
_DMesps-KGHy5ocYU-OB7wM,Group,GROUP-CloudFoundry-SDK-Apps,Apps_CloudFoundry
_dDmS-PZVmlpuE5oo-p5h3A,Group,GROUP-CloudFoundry-VirtualApps,VApps_CloudFoundry
_V9xSMQPL-QXHV3s-3zrQNB,Group,GROUP-CloudFoundry-Containers,Containers_CloudFoundry
_uZaHEKAsBeW8WIEGPfuv9g,Group,GROUP-XenVirtualMachines,Xen Virtual Machines
_uafFIcasEeC9wIEGPhub1G,Group,GROUP-XenPhysicalMachines,Xen Physical Machines
_uafFI3AseEC1rIEwmcuv6g,Group,GROUP-XenStorage,Xen Storage
undefined,Group,GROUP-VnxDiskArray,Vnx DiskArray
undefined,Group,GROUP-VnxXMLDiskArray,Vnx XML DiskArray
undefined,Group,GROUP-XTremIODiskArray,XTremIO DiskArray
_PQdO0GkeEeGWS-GKuEcnnQ,Group,GROUP-VDC1VMs,VDC 1.0 VMs
_vd9XcODHEeGc5fmApFldNA,Group,GROUP-CostBasedHW,By Cost
_0rOZwA95ZeCQ36YSwSiMQw111,Group,GROUP-StorageEntitiesByCluster,By Storage Cluster
_S4k97SFQZd-S4dn3K4_SSB111,Group,GROUP-StorageByStorageCluster,Storage By Cluster
_0rOZwA95ZeCQ36YSwSiMQw123,Group,GROUP-StorageEntitiesByServiceLevelCluster,By Service Level Cluster
_S4k97SFQZd-S4dn3K4_SSB123,Group,GROUP-StorageByServiceLevelCluster,Storage By Service Level Cluster
_EE7mgCl7EeSTurKWFLFfCg,Group,GROUP-VimVMHotAddMem,Virtual Machines by Hot Add Memory
_O9z0kCl7EeSk_4OzsCq8ow,Group,GROUP-VimVMHotAddCPU,Virtual Machines by Hot Add CPU
_vd9X-GROUP-HA-AllAppsOnHighlyAvailableProviders-FldNA,Group,GROUP-HA-AllAppsOnHighlyAvailableProviders,Apps on Highly Available VMs
_7yrxAApbEeeqGNAIjjRqrQ,Group,GROUP-PMsByTargetType,PMs by Target Type
_npchEDctEeeRJ77IkDHrbA,Group,GROUP-StorageByTargetType,Storage by Target Type
_ZiQa8EFUEeeFfuFuN_mNHA,Group,GROUP-VMsByTargetType,VMs by Target Type
_y-uCEAmMEeepiIloSuTHiA,Group,GROUP-CloudVMs,All Cloud VMs
_y-uCEAmMEeepiIloSuTHiB,Group,GROUP-CloudDBSs,All Cloud DBSs
_y-uCEAmMEeepiIloSuTHiC,Group,GROUP-CloudDBs,All Cloud DBs
_y-uCEAmMEeepiIloSuTHiD,Group,GROUP-CloudWorkloads,All Cloud Workloads
_lRrTYB--EeewItqBJctLGw,Group,GROUP-CloudPMs,All Cloud Zones
_lRdGBB--EeewItqBJctLGw,Group,GROUP-CloudSTs,Cloud STs
_lRdETT--EeejetqBJctLGw,Group,GROUP-CloudDAs,Cloud DAs
_2KrxAAfUEeeqGNAIjjRqyP,Group,GROUP-VMsByTarget,VMs by Target
50eb8d241c1f133b10c8f14d93a566de3f9a82b0,Group,GROUP-fexIOModules,Rack Server IOModules
_PE0v-YEUEee_hYfzgV9uYg,Group,GROUP-OnPremPMs,All On-prem Hosts
_AvmmwX8QEeimuqnYHlAKIw_migration,Group,GROUP-STsMigrateAllocFromOnPremToCloud,Storage on Cloud for migration
_S4k98yFQEd_migration,Group,GROUP-STsMigrateFromOnPremToCloud,Storage on Cloud for migration
_S4k9-SFQEd-S4dn3K4_ZZZ,Group,GROUP-AppDApplicationServer,Application Servers
_H4E8cdGIRWyL4n6P4xXXAW,Group,GROUP-BusinessApplication,Business Applications
5qRtV-7NBo-9jJmtL-E2emH,Group,GROUP-PivotalVms,Pivotal VMs
_zUALWJPwEfeR_dlfsjNGzr,Group,GROUP-WorkloadByAccount,Workload By Account
_zUALWJPwEfeR_dlfsjNGzE,Group,GROUP-WorkloadByResourceGroup,Workload By Resource Group
_y-uCEAmMEqepiIloSuTHiA,Group,GROUP-AWSAccounts,All AWS Accounts
_y-uCEAmMEqesiIloSuTHiA,Group,GROUP-AzureAccounts,All Azure Accounts
_H7bGoLdrEd-mCae6xGzCQQ,MarketGroup,GROUP-PM_Large,
_H7c70bdrEd-mCae6xGzCQQ,MarketGroup,GROUP-PM_Medium,
_H7c71bdrEd-mCae6xGzCQQ,MarketGroup,GROUP-PM_Small,
_o94pZyFqEd-RkpkaAlL0cg,MetaGroup,GROUP-VMs,VMs
_0webMSZyEd-O6tB8xjAnEQ,MetaGroup,GROUP-Container,Containers
_0webbSZyEd-O6tB8xjAnEQ,MetaGroup,GROUP-ContainerPod,ContainerPods
_0vOUMSZyEd-O6tB8xjAnEQ,MetaGroup,GROUP-Apps,Apps
_0vOUMSZyEd-O6tB8xjAnEQ1,MetaGroup,GROUP-AppSrvs,AppSrvs
_uv9L4LRbSgKDHQYvHydZOg,MetaGroup,GROUP-DBS,Databases
_Ms9eIGPKEeGnCcOTYE0bsg,MetaGroup,GROUP-VAppsByServiceType,VApps by Service Type
_ECQ-JDwIHPUSLnq-mEHeio,MetaGroup,GROUP-AppsByTarget,Apps
_j3IA-ihP9JRkm-A7Biub77,MetaGroup,GROUP-AppsByDataCenter,Apps
_Yt6TjT1W-DF6RJk-yxyRV2,MetaGroup,GROUP-ContainerByTarget,Containers
_b4F74-EoSRaiBr7-IBDZfq,MetaGroup,GROUP-ContainerByDataCenter,Containers
_Yt6TjT1W-DabRJk-yxyRV2,MetaGroup,GROUP-ContainerPodByTarget,ContainerPods
_b4F74-fbSRaiBr7-IBDZfq,MetaGroup,GROUP-ContainerPodByDataCenter,ContainerPods
_ypvKQAjAEeefuN7veUr--g,MetaGroup,GROUP-PMsByTargetType,PMs
_npchETctEeeRJ77IkDHrbA,MetaGroup,GROUP-StorageByTargetType,Storage
_ZiQa8UFUEeeFfuFuN_mNHA,MetaGroup,GROUP-VMsByTargetType,VMs
_bfvKQAjAJwefuN7veUr-rm,MetaGroup,GROUP-VMsByTarget,VMs
_kfvKQAjAJwefuN7veUr-rm,MetaGroup,GROUP-ProxyVMsByTarget,VMs
